category,Sonnenschein
Mo 03.02.,8.3
Di 04.02.,7.5
Mi 05.02.,0
Do 06.02.,0
Fr 07.02.,0
Sa 08.02.,2.7
So 09.02.,0.1
Mo 10.02.,0
Di 11.02.,2.4
Mi 12.02.,3.7
Do 13.02.,0
Fr 14.02.,0
Sa 15.02.,0
So 16.02.,6.9
Mo 17.02.,9.2
Di 18.02.,9.2
Mi 19.02.,7.3
Do 20.02.,1.4
Fr 21.02.,3.8
Sa 22.02.,0
So 23.02.,8.9
Mo 24.02.,0
Di 25.02.,3.9
Mi 26.02.,3.9
Do 27.02.,2.1
Fr 28.02.,0.5
Sa 01.03.,0
So 02.03.,9.4
Mo 03.03.,9.7
Di 04.03.,9.4
Mi 05.03.,10.3
Do 06.03.,10
Fr 07.03.,10.1
Sa 08.03.,10.6
So 09.03.,10.6
Mo 10.03.,10
Di 11.03.,0
Mi 12.03.,2.4
Do 13.03.,1.2
Fr 14.03.,2.5
Sa 15.03.,4.3
So 16.03.,10.3
Mo 17.03.,5.2
Di 18.03.,11
Mi 19.03.,11.3
Do 20.03.,11.4
Fr 21.03.,9.5
Sa 22.03.,3
So 23.03.,3.5
Mo 24.03.,4.5
Di 25.03.,6.4
Mi 26.03.,0.1
Do 27.03.,11.8
Fr 28.03.,11.9
Sa 29.03.,9.7
So 30.03.,2.7
Mo 31.03.,5
Di 01.04.,11.3
Mi 02.04.,12.2
Do 03.04.,12.1
Fr 04.04.,12.4
Sa 05.04.,12.3
So 06.04.,12.5
Mo 07.04.,12.6
Di 08.04.,12.7
Mi 09.04.,9.8
Do 10.04.,4.9
Fr 11.04.,12.8
Sa 12.04.,12
So 13.04.,3.2
Mo 14.04.,10.8
Di 15.04.,2.7
Mi 16.04.,0
Do 17.04.,0
Fr 18.04.,6
Sa 19.04.,10.6
So 20.04.,6.7
Mo 21.04.,4.1
Di 22.04.,6.8
Mi 23.04.,0.5
Do 24.04.,0
Fr 25.04.,1.9
Sa 26.04.,11.8
So 27.04.,13.9
Mo 28.04.,13.9
Di 29.04.,13.8
Mi 30.04.,14
Do 01.05.,13.5
Fr 02.05.,13.5
Sa 03.05.,2